"Geneid","SRR1177963","SRR1177964","SRR1177965","SRR1177997","SRR1177999","SRR1178002","SRR1178014","SRR1178021","SRR1178047"
"432","NM_001129882",62,64,78,72,72,59,93,120,141
"433","NM_001169112",74,69,53,39,43,31,76,122,164
"434","NM_013159",1847,1888,1812,1297,1414,1235,1795,2021,2023
"435","NM_145769",0,0,0,0,0,0,0,0,0
"436","NM_001108522",8,7,7,23,18,3,11,6,4
"437","NM_053758",492,595,494,403,466,321,435,560,641
"438","NM_001271354",0,0,0,50,2,3,446,1235,1050
"439","NM_001025767",11,11,12,13,18,6,10,13,35
"440","NM_001191898",0,0,0,0,0,0,0,1,0
"441","NM_022953",0,0,1,0,0,4,1,0,0
"442","NM_001108525",220,184,163,202,233,223,273,325,376
"443","NM_001106368",254,190,201,519,529,432,450,568,660
"444","NM_012571",1754,1578,1470,1597,2647,1579,674,1567,913
"445","NM_040669",300,302,317,361,419,235,491,583,567
"446","NM_001024975",2,6,1,6,8,3,2,3,7
"447","NM_001106353",1316,1398,1084,1304,1159,1160,1795,2034,2066
"448","NM_001106361",0,0,0,0,0,0,2,3,2
"449","NM_001191634",1137,1171,1067,1322,1660,1337,1436,1999,1894
"450","NM_001013905",131,95,118,70,83,65,159,186,251
"451","NM_001107600",447,367,340,258,369,366,332,380,397
"452","NM_001008349",165,139,126,153,173,158,317,516,1189
"453","NM_001011942",134,111,148,107,118,115,116,166,159
"454","NM_001127484",54,46,44,68,92,77,99,50,42
"455","NM_001107604",802,733,782,544,555,519,924,1227,1611
"456","NM_022700",106,101,87,125,110,129,118,162,161
"457","NM_080890",2554,2662,2693,1837,2271,2179,2079,2194,1837
"458","NM_019349",360,313,346,392,398,359,489,577,551
"459","NM_001007602",825,983,975,1214,1234,1066,1422,1983,1950
"460","NM_001164103",1,1,4,3,3,2,1,3,3
"461","NM_031552",0,0,0,0,0,0,0,0,0
"462","NM_131913",752,847,561,671,866,660,876,1270,1396
"463","NM_013160",2,2,5,3,6,4,6,22,8
"464","NM_001106200",2,0,1,0,0,0,0,0,0
"465","NM_023101",59,78,50,51,72,66,84,94,125
"466","NM_001113743",0,0,0,0,0,0,0,0,0
"467","NM_001107443",0,0,0,0,0,0,0,0,0
"468","NM_012959",2,26,2,144,156,72,189,65,39
"469","NM_001303537",0,0,0,0,0,0,0,0,0
"470","NM_001079705",12,13,13,15,18,9,36,43,52
"471","NM_013031",51,47,55,44,54,52,40,58,73
"472","NM_001107447",81,83,75,91,82,75,59,150,127
"473","NM_030829",48,66,56,73,85,89,158,257,169
"474","NM_001099460",0,0,0,0,0,0,0,0,0
"475","NM_001099458",0,0,0,0,0,0,0,0,0
"476","NM_001099462",0,0,0,0,0,0,0,0,0
"477","NM_001099459",0,0,0,0,0,0,0,0,0
